id,job_number,scan_date,files_scanned,changes_detected,scan_duration
85,35351,2025-10-17T10:26:03.664076,13,0,28.66821575164795
86,35351,2025-10-17T10:26:46.187756,13,0,37.42523717880249
87,35351,2025-10-17T10:27:24.554154,13,0,33.27479696273804
88,35351,2025-10-17T10:28:24.976950,13,3,29.80747628211975
89,35351,2025-10-17T10:28:24.990045,13,3,30.11533546447754
90,35351,2025-10-17T10:28:59.188829,13,0,29.096185207366943
91,35351,2025-10-17T10:29:34.280368,13,0,29.988430500030518
92,35351,2025-10-17T10:30:08.416628,13,0,29.0365207195282
93,35351,2025-10-17T10:30:50.288115,13,0,36.78199362754822
94,35351,2025-10-17T10:31:31.248626,13,0,35.869134187698364
95,35351,2025-10-17T10:33:56.666843,14,1,33.30567812919617
96,35351,2025-10-17T10:34:37.216217,13,1,35.452714920043945
97,35351,2025-10-17T10:35:12.854324,13,0,30.529821634292603
98,35351,2025-10-17T10:35:53.717418,13,0,35.75864219665527
99,35351,2025-10-17T10:36:34.133761,13,0,35.31951928138733
100,35351,2025-10-17T10:37:16.495705,13,0,37.26010346412659
101,35351,2025-10-17T10:37:53.981633,13,0,32.38825011253357
102,35351,2025-10-17T10:38:35.205744,13,0,36.2091429233551
103,35351,2025-10-17T10:39:17.256418,13,0,36.943028926849365
104,35351,2025-10-17T10:39:58.642183,13,0,36.28477644920349
105,35351,2025-10-17T10:40:40.592341,13,0,36.84489679336548
106,35351,2025-10-17T10:41:22.505819,13,0,36.813546657562256
107,35351,2025-10-17T10:42:04.166605,13,0,36.53348422050476
108,35351,2025-10-17T10:42:46.220521,13,0,36.95150852203369
109,35351,2025-10-17T10:43:28.487761,13,0,37.168588638305664
110,35351,2025-10-17T10:44:11.331013,13,0,37.73695516586304
111,35351,2025-10-17T10:44:53.007221,13,0,36.576279163360596
112,35351,2025-10-17T10:45:29.954197,13,0,31.855108737945557
113,35351,2025-10-17T10:46:08.392895,13,0,33.338443994522095
114,35351,2025-10-17T10:46:46.265802,13,0,32.77077627182007
115,35351,2025-10-17T10:47:22.988898,13,0,31.62455701828003
116,35351,2025-10-17T10:48:02.528749,13,0,34.43838357925415
117,35351,2025-10-17T10:48:44.115597,13,0,36.4854097366333
118,35351,2025-10-17T10:49:25.795207,13,0,36.580384731292725
119,35351,2025-10-17T10:50:05.361658,13,0,34.46865487098694
120,35394,2025-10-17T10:53:30.269322,240,3,210.15430450439453
121,35394,2025-10-17T10:53:30.269674,240,3,199.5889229774475
122,35394,2025-10-17T10:56:53.956209,240,0,198.62947702407837
123,34489,2025-10-17T10:59:07.101647,11,11,30.94608974456787
124,35394,2025-10-17T11:10:17.658360,240,0,192.50370049476624
125,35394,2025-10-17T11:14:45.700492,240,0,263.0251054763794
126,35394,2025-10-17T11:34:46.351303,232,8,189.65410995483398
127,35371,2025-10-17T11:36:40.972451,85,52,109.60641026496887
128,35371,2025-10-17T11:38:32.831836,85,0,106.7249391078949
129,35371,2025-10-17T11:40:24.307180,85,0,106.38493251800537
130,35371,2025-10-17T11:45:19.708832,85,0,101.7072823047638
131,35371,2025-10-17T11:47:14.607559,85,0,109.87685108184814
132,35371,2025-10-17T11:50:03.194453,85,0,163.56712675094604
133,35371,2025-10-17T11:52:51.693961,85,0,163.48055768013
134,35394,2025-10-17T11:56:36.697652,232,0,219.9924066066742
135,35394,2025-10-17T11:59:55.960154,232,0,194.16061425209045
136,34489,2025-10-17T13:03:50.532366,12,3,38.58230423927307
137,35394,2025-10-17T13:04:18.630684,232,0,306.746125459671
138,35394,2025-10-17T13:04:18.630949,232,0,303.14809942245483
139,34489,2025-10-17T13:05:00.815102,12,0,37.09866642951965
140,34489,2025-10-17T13:06:53.279576,12,0,35.88107490539551
141,34489,2025-10-17T13:07:34.678363,12,0,36.29963779449463
142,34489,2025-10-17T13:08:17.656660,12,0,37.8757107257843
143,34489,2025-10-17T13:09:00.321836,12,0,37.5598828792572
144,34489,2025-10-17T13:09:43.649170,12,0,38.22334694862366
145,34489,2025-10-17T13:10:25.798546,12,0,37.056480169296265
146,34489,2025-10-17T13:11:09.111930,12,0,38.20740294456482
147,34489,2025-10-17T13:11:51.288756,12,0,37.076587438583374
148,34489,2025-10-17T13:12:35.730599,12,0,39.35105848312378
149,34489,2025-10-17T13:13:17.152545,12,0,36.32165026664734
150,34489,2025-10-17T13:13:56.012277,12,0,33.75847411155701
151,34489,2025-10-17T13:14:38.657045,12,0,37.543572187423706
152,34489,2025-10-17T13:15:20.612162,12,0,36.861149311065674
153,34489,2025-10-17T13:16:02.514503,12,0,36.81004476547241
154,34489,2025-10-17T13:16:44.743625,12,0,37.13432693481445
155,34489,2025-10-17T13:17:28.098308,12,0,38.2628538608551
156,34489,2025-10-17T13:18:10.392145,12,0,37.18755388259888
157,34489,2025-10-17T13:18:53.683532,12,0,38.18987154960632
158,34489,2025-10-17T13:19:33.455467,12,0,34.66957688331604
159,34489,2025-10-17T13:20:09.931239,12,0,31.377269506454468
160,34489,2025-10-17T13:20:46.878925,12,0,31.844850301742554
161,34489,2025-10-17T13:21:22.861441,12,0,30.880659341812134
162,34489,2025-10-17T13:22:00.388580,12,0,32.423508405685425
163,34489,2025-10-17T13:22:38.982975,12,0,33.48783016204834
164,34489,2025-10-17T13:23:17.223704,12,0,33.13490009307861
165,34489,2025-10-17T13:23:56.166923,12,0,33.84016442298889
166,34489,2025-10-17T13:24:35.635795,12,0,34.3618597984314
167,34489,2025-10-17T13:25:14.285844,12,0,33.5543053150177
168,34489,2025-10-17T13:25:52.561783,12,0,33.16310453414917
