id,job_number,drawing_name,original_path,review_path,department,reviewer,review_type,status,created_date,completed_date,notes,file_size
17,11111,JOB 34107 ABLE LINEN bol.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\JOB 34107 ABLE LINEN bol.pdf",ProjectBackup\Drawing Reviews\11111\JOB 34107 ABLE LINEN bol.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:46.391725,,,882137
18,11111,JOB 34107 ABLE LINEN EMAIL FOR CO.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\JOB 34107 ABLE LINEN EMAIL FOR CO.pdf",ProjectBackup\Drawing Reviews\11111\JOB 34107 ABLE LINEN EMAIL FOR CO.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:47.023527,,,297295
19,11111,JOB 34107 ABLE LINEN PO.pdf,"F:/Able Linen/Orlando, FL/34107\2. Accounting\JOB 34107 ABLE LINEN PO.pdf",ProjectBackup\Drawing Reviews\11111\JOB 34107 ABLE LINEN PO.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:47.536159,,,115477
20,11111,ECN20390 ABLE LINEN WO 34107-LL relief valve.pdf,"F:/Able Linen/Orlando, FL/34107\3. Engineering\ECN\ECN20390 ABLE LINEN WO 34107-LL relief valve.pdf",ProjectBackup\Drawing Reviews\11111\ECN20390 ABLE LINEN WO 34107-LL relief valve.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:48.408504,,,826013
21,11111,ECN20440 ABLE LINEN WO 34107-LL steam valve.pdf,"F:/Able Linen/Orlando, FL/34107\3. Engineering\ECN\ECN20440 ABLE LINEN WO 34107-LL steam valve.pdf",ProjectBackup\Drawing Reviews\11111\ECN20440 ABLE LINEN WO 34107-LL steam valve.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:49.350691,,,815063
22,11111,ECN20441 ABLE LINEN WO 34107-LL auxiliary contact.pdf,"F:/Able Linen/Orlando, FL/34107\3. Engineering\ECN\ECN20441 ABLE LINEN WO 34107-LL auxiliary contact.pdf",ProjectBackup\Drawing Reviews\11111\ECN20441 ABLE LINEN WO 34107-LL auxiliary contact.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:50.208756,,,814495
23,11111,Steam valve datasheet.pdf,"F:/Able Linen/Orlando, FL/34107\3. Engineering\General Design\Steam valve datasheet.pdf",ProjectBackup\Drawing Reviews\11111\Steam valve datasheet.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:50.859960,,,201707
24,11111,TW pump datasheet 34107.pdf,"F:/Able Linen/Orlando, FL/34107\3. Engineering\General Design\TW pump datasheet 34107.pdf",ProjectBackup\Drawing Reviews\11111\TW pump datasheet 34107.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:51.336156,,,39912
25,11111,613-04-020 QQ-2400089-00.pdf,"F:/Able Linen/Orlando, FL/34107\3. Engineering\Quotes\613-04-020 QQ-2400089-00.pdf",ProjectBackup\Drawing Reviews\11111\613-04-020 QQ-2400089-00.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:52.124883,,,635507
26,11111,"Able Linen- 34107-Orlando, FL-Shipper Rev A.pdf","F:/Able Linen/Orlando, FL/34107\4. Drafting\Shippers\Able Linen- 34107-Orlando, FL-Shipper Rev A.pdf","ProjectBackup\Drawing Reviews\11111\Able Linen- 34107-Orlando, FL-Shipper Rev A.pdf",Drafting,llaing,imported,pending,2025-10-17T14:53:52.880002,,,703004
27,11111,0869_001.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Shippers\Scan of Sent Shipment\0869_001.pdf",ProjectBackup\Drawing Reviews\11111\0869_001.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:54.029123,,,881541
28,11111,"Able Linen- 34107-Orlando, FL-Shipper.pdf","F:/Able Linen/Orlando, FL/34107\4. Drafting\Shippers\Void Shippers\Able Linen- 34107-Orlando, FL-Shipper.pdf","ProjectBackup\Drawing Reviews\11111\Able Linen- 34107-Orlando, FL-Shipper.pdf",Drafting,llaing,imported,pending,2025-10-17T14:53:54.519303,,,100901
29,11111,21-2329revB LAYOUT-Layout1.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Submittal\Drawings\21-2329revB LAYOUT-Layout1.pdf",ProjectBackup\Drawing Reviews\11111\21-2329revB LAYOUT-Layout1.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:55.221431,,,330922
30,11111,21-2330revA TWT OUTLINE-Model.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Submittal\Drawings\21-2330revA TWT OUTLINE-Model.pdf",ProjectBackup\Drawing Reviews\11111\21-2330revA TWT OUTLINE-Model.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:55.755217,,,146090
31,11111,42-2364revC FLOW-Model.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Submittal\Drawings\42-2364revC FLOW-Model.pdf",ProjectBackup\Drawing Reviews\11111\42-2364revC FLOW-Model.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:56.627258,,,489278
32,11111,42-2365revA HWTWIRING.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Submittal\Drawings\42-2365revA HWTWIRING.pdf",ProjectBackup\Drawing Reviews\11111\42-2365revA HWTWIRING.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:57.758102,,,1563863
33,11111,21-2329revB LAYOUT.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\21-2329revB LAYOUT.pdf",ProjectBackup\Drawing Reviews\11111\21-2329revB LAYOUT.pdf,Drafting,llaing,imported,pending,2025-10-17T14:53:58.827814,,,310982
34,11111,34107 ABLE LINEN TRUCK LAYOUT.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\34107 ABLE LINEN TRUCK LAYOUT.pdf",ProjectBackup\Drawing Reviews\11111\34107 ABLE LINEN TRUCK LAYOUT.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:00.229954,,,266943
35,11111,42-2364revC FLOW.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\42-2364revC FLOW.pdf",ProjectBackup\Drawing Reviews\11111\42-2364revC FLOW.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:01.536735,,,539661
36,11111,Systems 1.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\redlines\Systems 1.pdf",ProjectBackup\Drawing Reviews\11111\Systems 1.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:04.329650,,,4215553
37,11111,Systems 2.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\redlines\Systems 2.pdf",ProjectBackup\Drawing Reviews\11111\Systems 2.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:06.205550,,,4101605
38,11111,Systems 3.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\redlines\Systems 3.pdf",ProjectBackup\Drawing Reviews\11111\Systems 3.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:08.392201,,,4741571
39,11111,Systems 4.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\redlines\Systems 4.pdf",ProjectBackup\Drawing Reviews\11111\Systems 4.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:10.399920,,,5026765
40,11111,Wiring 1.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\redlines\Wiring 1.pdf",ProjectBackup\Drawing Reviews\11111\Wiring 1.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:12.195034,,,4618827
41,11111,21-2329 LAYOUT.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\Voided\21-2329 LAYOUT.pdf",ProjectBackup\Drawing Reviews\11111\21-2329 LAYOUT.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:12.908886,,,350942
42,11111,21-2330 TWT OUTLINE.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\Voided\21-2330 TWT OUTLINE.pdf",ProjectBackup\Drawing Reviews\11111\21-2330 TWT OUTLINE.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:13.446493,,,106679
43,11111,42-2364 FLOW.pdf,"F:/Able Linen/Orlando, FL/34107\4. Drafting\Systems\Voided\42-2364 FLOW.pdf",ProjectBackup\Drawing Reviews\11111\42-2364 FLOW.pdf,Drafting,llaing,imported,pending,2025-10-17T14:54:14.262274,,,538147
44,11111,"Q1815962 - ABLE LINEN (ORLANDO, FL).pdf","F:/Able Linen/Orlando, FL/34107\8. Service\SPARE PARTS QUOTE\Q1815962 - ABLE LINEN (ORLANDO, FL).pdf","ProjectBackup\Drawing Reviews\11111\Q1815962 - ABLE LINEN (ORLANDO, FL).pdf",Drafting,llaing,imported,pending,2025-10-17T14:54:15.038136,,,410261
